"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g03910" 735 717 602 906 1042 1150 843 764 613 559 827 823
"Afu1g03920" 939 952 724 930 1025 1142 1362 1258 1062 300 90 321
"Afu1g03930" 1085 1119 968 1254 1292 1384 1238 1155 927 1435 1031 1269
"Afu1g03940" 2399 2287 2154 1793 1863 2031 2626 2749 2157 2779 2078 2703
"Afu1g03950" 7037 6395 6640 5678 7350 7548 7180 7005 4952 2343 2643 2123
"Afu1g03960" 828 661 655 935 1021 1041 958 841 666 2862 1657 3073
"Afu1g03970" 3602 3222 3154 3005 3558 3671 3960 4037 3226 2676 1765 2517
"Afu1g03992" 1014 2206 2471 584 666 628 2222 1869 1660 317 159 289
"Afu1g04010" 417 402 368 688 623 618 630 565 435 484 219 377
"Afu1g04020" 914 838 661 1295 1350 1335 1049 911 683 1410 863 1251
"Afu1g04040" 12769 11288 10642 6907 6718 7802 12292 12448 10413 3679 1604 3201
"Afu1g04062" 670 635 537 1131 1122 1240 856 709 578 508 190 487
"Afu1g04070" 24181 21338 20590 13872 15557 17138 23635 23407 20617 4962 2605 3906
"Afu1g04080" 1467 1119 1082 1003 1098 1071 1864 1490 1308 888 443 714
"Afu1g04090" 107 104 81 200 193 171 139 110 89 80 25 78
"Afu1g04100" 244 169 159 230 172 181 209 120 75 101 48 119
"Afu1g04110" 226 217 221 300 400 336 481 347 222 184 50 142
"Afu1g04120" 349 334 345 655 704 796 357 409 320 661 611 740
"Afu1g04130" 2873 1746 2154 1152 1987 1334 4238 6327 3659 2713 451 1993
"Afu1g04140" 196 150 145 164 161 138 227 198 133 97 27 112
"Afu1g04150" 2033 1782 1906 42 51 54 1016 1018 718 20 7 10
"Afu1g04160" 66 54 50 100 69 91 98 83 58 338 97 394
"Afu1g04170" 260 171 134 232 228 267 236 225 160 235 92 207
"Afu1g04190" 3943 3851 3365 2794 3357 3662 3547 3957 3302 1513 1658 1448
"Afu1g04210" 926 829 735 1173 1353 1280 1331 1016 853 2473 1452 2438
"Afu1g04220" 99 96 75 163 165 183 117 125 75 90 59 117
"Afu1g04230" 403 355 312 521 533 593 441 417 315 260 145 273
"Afu1g04240" 838 889 765 988 1019 1238 979 996 752 668 472 672
"Afu1g04250" 201 156 175 170 244 250 200 235 177 296 125 320
"Afu1g04260" 938 854 828 1477 1674 1776 1250 1195 1022 1233 488 1245
"Afu1g04270" 1911 1506 1472 1519 1641 1634 2832 1934 1646 1018 429 822
"Afu1g04280" 1417 1196 1241 1092 1156 1199 1376 1642 1266 1622 1392 1610
"Afu1g04290" 1500 1256 1176 1113 1401 1387 1419 1370 1071 1547 1143 1564
"Afu1g04300" 258 257 309 178 220 216 122 151 107 1116 1280 986
"Afu1g04310" 176 267 243 203 232 226 208 174 169 779 844 803
"Afu1g04315" 1370 923 892 460 564 500 856 785 713 885 714 806
"Afu1g04320" 12408 10697 10335 5432 5353 5805 9529 10762 9563 1894 850 1586
"Afu1g04330" 155 150 119 197 162 167 176 135 133 259 118 298
"Afu1g04340" 828 670 741 791 1019 1000 838 782 589 379 204 351
"Afu1g04350" 68 84 58 119 88 124 129 107 90 92 37 82
"Afu1g04360" 1159 1022 879 952 1094 977 1293 1186 913 913 423 802
"Afu1g04370" 1052 997 875 649 649 826 1098 1223 918 285 314 198
"Afu1g04380" 239 270 234 377 351 342 461 434 340 602 296 542
"Afu1g04390" 227 190 198 412 325 378 507 334 261 140 20 126
"Afu1g04400" 1209 1173 1175 1489 1429 1813 1578 1367 1154 1176 1003 1296
"Afu1g04410" 531 431 425 758 800 918 743 749 590 900 673 927
"Afu1g04420" 86 78 45 346 266 276 123 70 63 73 74 60
"Afu1g04430" 610 438 463 7421 6221 7083 718 539 361 882 841 748
"Afu1g04440" 559 594 491 1541 1356 1499 1065 887 714 2883 3441 2829
"Afu1g04450" 2391 1908 1676 881 1076 977 2198 2206 1792 4105 6091 3920
"Afu1g04455" 14 9 14 20 31 27 16 21 14 20 7 24
"Afu1g04460" 592 534 455 757 704 882 755 708 568 201 360 151
"Afu1g04470" 835 739 721 743 860 1045 938 837 715 680 441 684
"Afu1g04480" 327 249 247 600 482 406 718 531 395 1490 931 1185
"Afu1g04485" 37 16 26 30 33 26 22 19 17 34 88 25
"Afu1g04490" 1064 856 828 1692 1658 1595 1731 1133 962 4070 1788 3867
"Afu1g04510" 84 63 55 135 160 154 105 93 95 138 125 160
"Afu1g04520" 466 362 329 535 594 642 771 540 448 753 271 626
"Afu1g04530" 7306 6641 6340 3171 3193 3559 6462 7050 5540 1217 477 945
"Afu1g04540" 2890 3315 3429 5188 4685 5592 4137 3994 3159 5169 4089 5871
"Afu1g04550" 1765 1454 1306 939 1034 985 1548 1584 1283 797 702 690
"Afu1g04560" 2601 1717 1609 3564 4246 4060 2531 2073 1679 2137 530 1900
"Afu1g04570" 507 364 370 218 275 279 332 330 243 112 37 101
"Afu1g04575" 8180 7111 6522 2584 4829 3267 2595 1661 1523 873 215 546
"Afu1g04580" 324 237 203 291 314 313 296 303 215 100 16 79
"Afu1g04590" 482 411 381 740 725 579 793 505 393 1008 418 902
"Afu1g04600" 680 764 651 464 516 655 874 621 606 219 116 186
"Afu1g04610" 398 363 300 286 319 362 346 338 261 652 392 649
"Afu1g04620" 9987 9046 8616 13826 14075 15278 8842 6902 6525 10556 13528 12455
"Afu1g04630" 279 197 203 131 194 169 261 288 211 323 300 282
"Afu1g04640" 982 703 746 937 1034 929 1315 1027 753 1493 1493 1261
"Afu1g04650" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g04660" 13139 11818 10857 6137 6207 6775 11573 13131 10839 1974 1085 1510
"Afu1g04670" 3907 2843 2829 3681 4341 4485 3574 3132 2605 7090 10216 6685
"Afu1g04680" 2907 2386 2178 630 681 750 2662 2737 2185 2500 2490 2616
"Afu1g04690" 674 504 474 262 286 278 841 689 488 249 146 205
"Afu1g04700" 1837 1531 1446 2117 2316 2495 2065 2035 1527 982 832 1009
"Afu1g04710" 677 632 511 704 725 761 945 756 576 1078 655 1029
"Afu1g04720" 945 816 739 1179 1155 1328 756 842 639 227 165 207
"Afu1g04730" 82 81 84 150 129 139 150 111 87 81 206 64
"Afu1g04740" 58 26 24 18 13 15 32 16 25 20 58 14
"Afu1g04750" 2837 1136 889 1038 1551 1589 881 636 604 3284 13356 4800
"Afu1g04760" 372 354 332 371 426 373 437 428 351 437 201 499
"Afu1g04770" 352 246 214 534 512 536 439 349 252 236 76 208
"Afu1g04780" 608 501 469 807 795 825 1054 748 620 578 160 516
"Afu1g04790" 2605 1491 1405 2655 3527 3140 2376 1992 1603 2370 2806 2438
"Afu1g04800" 644 618 566 747 676 823 823 776 666 538 293 461
"Afu1g04810" 214 199 176 426 408 464 345 273 203 1198 907 1210
"Afu1g04820" 939 706 672 1567 1601 1661 1455 1435 1228 1348 772 1296
"Afu1g04830" 102 133 107 96 123 126 244 194 135 34 103 17
"Afu1g04840" 1295 1247 1164 1486 1496 1947 1756 1789 1356 689 696 545
"Afu1g04845" 12 11 9 4 9 6 6 14 5 4 7 3
"Afu1g04850" 1479 1350 1290 1749 1802 1933 1918 1701 1406 1516 925 1291
"Afu1g04860" 718 538 505 547 587 590 1515 1080 879 907 627 952
"Afu1g04870" 794 593 483 4895 5117 4654 1758 1929 982 263 145 225
"Afu1g04880" 2107 1986 2078 3935 4401 4873 3264 2813 2229 2830 1222 2621
"Afu1g04890" 3327 2428 2268 2240 2484 2412 2451 2269 1712 955 434 944
"Afu1g04900" 3027 2751 2527 2533 2521 3118 4495 4678 3726 1798 1544 1879
"Afu1g04910" 708 515 452 1367 1419 1462 972 652 523 1893 1827 1955
"Afu1g04920" 994 971 806 1479 1776 1581 1645 1263 1138 1235 870 1114
"Afu1g04930" 7279 5707 5309 4829 5936 5968 7462 5926 5073 2961 1763 2567
"Afu1g04940" 3932 3004 2940 3339 3412 3700 3792 3467 2962 6626 7064 6683
"Afu1g04950" 3037 2583 2570 2631 3508 3618 3442 3009 2428 2755 2334 2460
"Afu1g04960" 6390 3526 3375 6922 7401 7556 5651 4063 3548 2416 1527 1813
"Afu1g04970" 1279 984 971 766 857 831 1285 1248 962 3704 3002 3155
"Afu1g04980" 372 285 247 475 544 497 486 403 306 305 290 173
"Afu1g04990" 2700 2464 2162 4021 4304 5033 3041 2997 2461 4834 4496 4655
"Afu1g05000" 462 406 369 440 450 411 514 465 384 405 138 422
"Afu1g05010" 60 67 53 117 107 114 100 74 55 69 18 81
"Afu1g05020" 930 709 611 2220 2223 2062 1032 770 551 270 105 271
"Afu1g05030" 0 0 0 1 0 0 0 0 0 0 1 1
"Afu1g05040" 5663 5055 4934 5457 6272 6946 6113 5573 5652 5255 13949 4231
"Afu1g05050" 239 173 183 343 361 376 397 321 306 144 118 144
"Afu1g05060" 2033 1743 1725 2425 2214 2621 1628 1532 1376 867 612 932
"Afu1g05070" 447 437 352 309 301 311 530 503 415 106 43 52
"Afu1g05080" 5843 5063 4595 2300 2034 2140 4748 5399 4189 498 195 335
"Afu1g05090" 1 0 0 0 0 0 1 1 0 0 0 0
"Afu1g05095" 16 9 20 5 3 10 11 19 10 3 4 2
"Afu1g05100" 651 494 497 824 966 856 702 644 473 701 314 627
"Afu1g05110" 1037 964 768 1167 1301 1371 1140 1122 901 3443 2376 3552
"Afu1g05120" 817 669 592 818 888 791 945 837 602 476 236 420
"Afu1g05130" 5259 4688 5065 4333 6499 6484 7690 5574 5209 9288 29135 9060
"Afu1g05140" 55 79 90 96 108 139 139 125 110 68 118 88
"Afu1g05150" 540 528 416 369 397 503 562 468 493 129 96 79
"Afu1g05160" 731 716 626 948 981 1215 869 794 627 429 432 430
"Afu1g05170" 212 159 127 324 282 396 253 192 184 185 447 236
"Afu1g05180" 269 197 159 132 111 138 263 209 202 91 42 79
"Afu1g05190" 1365 1198 1155 1756 1983 2110 1394 1310 1074 2198 1839 2174
"Afu1g05200" 4521 4055 3771 2471 3093 3184 3887 4486 3774 1675 1190 1600
"Afu1g05210" 2354 2033 1881 1815 2221 2327 2418 2029 1570 666 285 620
"Afu1g05220" 838 782 741 600 578 697 793 680 627 1162 708 1315
"Afu1g05230" 852 716 695 836 1043 1161 1054 832 731 1370 1912 1781
"Afu1g05240" 3127 2568 2417 1431 2075 2050 2249 2596 2049 4042 11348 3953
"Afu1g05260" 333 286 255 306 351 367 458 373 326 361 412 295
"Afu1g05270" 99 99 57 194 175 156 165 115 75 148 100 111
"Afu1g05280" 858 653 710 796 927 977 778 881 675 913 389 906
"Afu1g05290" 137 70 65 26 29 27 67 64 64 5 2 6
"Afu1g05300" 513 465 424 856 802 826 661 634 457 331 154 284
"Afu1g05310" 1220 1257 1115 893 1010 1179 1260 1300 1148 324 309 194
"Afu1g05320" 1283 953 922 841 916 910 1297 1081 876 1171 607 1126
"Afu1g05330" 225 163 130 234 193 173 378 264 190 183 37 159
"Afu1g05340" 5154 4833 4486 2689 2655 2966 4439 4983 4045 871 315 639
"Afu1g05350" 66 90 69 140 146 153 161 101 83 94 29 112
"Afu1g05360" 176 167 156 229 261 262 334 197 209 64 39 38
"Afu1g05370" 1340 1307 1338 1785 2588 2508 1650 1385 1236 1467 2617 1648
"Afu1g05380" 1269 1175 1163 1587 1502 1896 1404 1332 1187 3092 2862 3437
"Afu1g05390" 44273 39424 38461 42451 46749 52035 45339 49414 40745 12305 28129 11524
"Afu1g05400" 5473 4709 5021 3907 5372 5315 5111 5975 4917 1335 2990 1216
"Afu1g05410" 952 916 744 805 748 1139 846 933 783 230 275 274
"Afu1g05420" 837 728 653 853 976 1043 908 818 631 1066 371 981
"Afu1g05430" 80 71 65 141 128 167 105 102 94 65 40 65
"Afu1g05440" 262 224 181 392 390 363 262 256 208 187 137 252
"Afu1g05450" 539 413 426 824 796 862 679 554 376 570 123 556
"Afu1g05460" 435 363 310 540 537 521 617 483 422 442 299 394
"Afu1g05470" 610 629 618 784 827 909 850 907 696 1464 912 1590
"Afu1g05480" 13 6 12 4 9 11 23 10 16 13 3 10
"Afu1g05490" 5768 3750 3705 3819 4709 4596 5052 4706 3818 3798 2418 3301
"Afu1g05500" 8457 7651 6976 3596 3817 4030 6825 8069 6472 1543 819 1138
"Afu1g05510" 1131 1055 1001 776 911 869 1191 1092 862 1375 989 1347
"Afu1g05520" 553 963 947 401 440 394 939 570 492 74 19 55
"Afu1g05530" 276 225 212 338 338 348 361 327 254 119 32 111
"Afu1g05540" 541 509 524 1118 1227 1365 818 848 556 846 277 816
"Afu1g05550" 711 536 585 1766 2315 2400 994 892 688 279 28 220
"Afu1g05560" 1321 1239 1142 1779 1722 2064 1877 1637 1376 1568 958 1571
"Afu1g05570" 102 93 100 110 129 115 177 149 152 115 91 83
"Afu1g05580" 1182 827 811 1364 1595 1467 997 793 657 377 74 310
"Afu1g05590" 425 385 327 809 771 791 785 628 425 2141 1115 1874
"Afu1g05595" 764 763 744 1230 1297 1424 1159 763 599 343 549 308
"Afu1g05600" 30 25 23 40 37 43 59 46 46 20 7 12
"Afu1g05610" 3767 3130 3028 3310 3464 3845 4517 3814 3282 1406 433 1166
"Afu1g05620" 2401 1942 1948 1803 1706 1878 2888 2749 2413 1186 628 999
"Afu1g05630" 12769 11328 10286 5049 5187 5605 10816 12250 10109 2090 891 1787
"Afu1g05640" 832 591 648 1126 1150 1198 1176 895 697 1318 499 1282
"Afu1g05650" 520 458 392 602 558 650 605 550 435 293 153 282
"Afu1g05655" 362 292 314 647 560 628 499 358 289 946 532 962
"Afu1g05660" 147 170 113 243 221 239 278 186 148 462 278 427
"Afu1g05670" 98 71 86 93 64 72 178 125 105 53 61 40
"Afu1g05680" 614 645 644 555 678 690 2384 1734 1532 525 269 459
"Afu1g05690" 391 338 385 280 301 268 421 411 333 1907 2070 1575
"Afu1g05700" 142 127 115 230 231 244 241 172 101 213 99 168
"Afu1g05710" 146 119 104 111 101 95 187 137 124 53 21 63
"Afu1g05720" 1459 1351 1462 3640 4533 4563 1169 1039 784 911 518 930
"Afu1g05730" 728 671 641 1082 1176 1212 829 734 571 896 320 943
"Afu1g05735" 2 2 3 3 5 4 6 7 2 1 0 7
"Afu1g05740" 242 194 185 92 125 111 332 219 182 195 75 160
"Afu1g05745" 543 456 371 211 254 215 463 478 369 369 148 286
"Afu1g05750" 194 182 157 218 304 276 320 200 154 608 690 534
"Afu1g05760" 327 250 274 607 491 553 403 305 242 1329 1518 1329
"Afu1g05770" 802 742 665 393 523 510 1001 768 746 271 486 285
"Afu1g05780" 61 97 112 88 84 83 92 108 80 48 25 45
"Afu1g05790" 30161 19579 20232 28342 33212 31937 13565 20071 13696 13309 16732 11392
"Afu1g05800" 5034 4046 4439 9160 11138 12565 5263 4807 4156 5082 14773 5552
"Afu1g05810" 765 640 647 767 943 864 1083 917 692 1475 664 1221
"Afu1g05820" 1124 1005 995 623 655 682 1513 1331 1083 491 202 388
"Afu1g05830" 5625 3653 3389 2251 3240 3154 5042 5216 4127 3083 6728 2668
"Afu1g05840" 4828 3134 2987 601 829 719 1658 1537 1520 2169 2879 2140
"Afu1g05850" 1054 686 628 67 90 66 318 328 329 180 487 187
"Afu1g05860" 31 37 32 13 17 21 24 18 13 15 10 20
"Afu1g05870" 643 561 447 417 510 467 725 620 527 2195 3308 1891
"Afu1g05880" 12 10 7 27 27 31 19 13 12 24 16 10
"Afu1g05890" 11 7 6 23 25 24 11 9 9 17 16 20
"Afu1g05900" 1764 1613 1556 1275 1645 1678 2050 1967 1644 1431 2515 1133
"Afu1g05910" 265 196 182 368 376 398 278 224 207 384 167 352
"Afu1g05920" 1177 805 804 1056 1193 1201 1225 950 805 1902 2432 1539
"Afu1g05930" 1348 1031 946 1173 1318 1244 1510 1387 1085 1484 858 1391
"Afu1g05940" 248 251 212 286 296 319 388 247 212 103 42 57
"Afu1g05950" 923 887 857 1203 1637 1803 980 1022 788 221 183 265
"Afu1g05960" 393 250 270 578 654 545 439 355 273 423 166 401
"Afu1g05970" 2367 1433 1407 1412 1774 1720 2192 1586 1400 2341 2544 2223
"Afu1g05980" 723 467 416 250 275 248 942 600 595 389 924 330
"Afu1g05990" 12613 11237 10231 5220 5068 5441 11800 12734 10021 2197 708 1670
"Afu1g06000" 522 201 187 79 107 73 132 167 127 94 130 79
"Afu1g06010" 6 8 8 15 9 5 12 5 9 8 6 4
"Afu1g06020" 21567 12604 11799 3922 5631 5365 8673 8669 7763 6637 13651 6562
"Afu1g06030" 1679 1242 1244 1678 1901 1927 1833 1696 1358 1581 977 1487
"Afu1g06040" 489 638 795 483 539 627 743 705 555 2061 5062 2044
"Afu1g06050" 1719 1270 1256 1146 1274 1210 1887 1354 1088 2220 1042 2062
"Afu1g06060" 6833 5027 4812 3107 4532 3901 5462 5099 4149 4291 2696 3490
"Afu1g06071" 1848 1448 1444 925 1182 1032 1353 1394 1083 1931 2536 1619
"Afu1g06080" 938 913 784 688 662 698 940 897 850 1709 1135 1838
"Afu1g06090" 2100 1582 1502 2373 2890 3009 1867 1723 1437 1918 1316 1627
"Afu1g06100" 188 189 171 113 111 115 329 256 208 197 225 254
"Afu1g06110" 1908 1577 1505 827 789 797 1371 1387 1210 2846 2756 3140
"Afu1g06120" 5 9 5 22 20 12 7 8 9 79 77 77
"Afu1g06130" 16 23 8 171 148 173 42 17 19 110 158 62
"Afu1g06140" 12 12 11 169 129 140 28 19 12 79 22 71
"Afu1g06150" 203 186 156 540 556 652 237 342 264 280 406 374
"Afu1g06160" 66 44 44 355 395 365 83 82 46 163 70 154
"Afu1g06170" 4427 3713 3613 2877 2972 3009 4995 4628 3877 5937 4196 5896
"Afu1g06180" 1251 1118 1085 1144 1132 1323 1450 1424 1177 649 209 579
"Afu1g06190" 1235 1259 1079 1666 1658 2314 1710 1562 1304 590 558 580
"Afu1g06200" 585 548 425 757 664 717 739 607 428 441 152 397
"Afu1g06210" 2740 2391 2237 2579 2783 2850 2555 2313 2135 1195 358 995
"Afu1g06220" 464 511 415 387 361 480 533 595 453 115 130 103
"Afu1g06230" 699 727 591 719 652 852 767 815 622 275 301 203
"Afu1g06240" 1401 1178 1144 1425 1237 1446 2147 1443 1273 943 306 858
"Afu1g06250" 461 407 327 485 440 492 714 500 428 311 155 250
"Afu1g06260" 233 193 193 217 243 213 381 265 231 115 53 90
"Afu1g06270" 74 67 56 89 87 98 109 72 74 41 7 34
"Afu1g06280" 683 577 504 883 910 941 867 706 568 623 327 574
"Afu1g06290" 675 634 565 722 754 948 872 749 651 505 405 499
"Afu1g06300" 1824 1717 1593 1499 1346 1499 2600 2241 1911 2459 1131 2411
"Afu1g06310" 1194 1091 937 1189 1218 1300 1484 1201 1022 1739 1178 1820
"Afu1g06320" 3021 2201 2021 3138 3150 3403 2976 3253 2446 3363 3826 3057
"Afu1g06330" 4659 3598 3348 2316 3315 3231 3558 3315 2738 917 1383 851
"Afu1g06340" 10038 9294 8902 4789 5045 5503 10341 11037 8815 1621 619 1289
"Afu1g06350" 4744 3290 3634 5673 7108 5816 7215 6468 4989 1670 1367 1548
"Afu1g06360" 145 109 84 217 183 175 184 186 137 105 47 98
"Afu1g06370" 502 405 334 602 625 623 488 488 393 389 96 355
"Afu1g06380" 220 225 202 375 334 431 310 317 215 348 193 332
"Afu1g06390" 98494 83566 82761 76112 75913 84864 102244 109462 91570 37726 22356 29963
"Afu1g06400" 4347 2881 2959 1862 2496 2570 4500 4358 3525 2414 4037 2407
"Afu1g06410" 1159 887 824 564 684 681 974 880 734 1218 1598 1182
"Afu1g06420" 1206 1053 949 1377 1355 1442 1480 1211 1085 3585 2589 3504
"Afu1g06430" 142 140 128 164 192 180 204 130 124 165 76 162
"Afu1g06440" 704 414 367 453 634 577 731 651 549 184 106 125
"Afu1g06450" 562 355 365 157 226 185 304 460 343 82 64 77
"Afu1g06460" 472 469 350 574 608 587 504 439 383 776 574 779
"Afu1g06470" 87 81 69 218 202 240 175 118 102 306 218 317
"Afu1g06480" 405 361 298 255 418 367 304 261 205 23646 72979 25268
"Afu1g06490" 664 526 456 1233 1303 1265 959 701 585 660 348 577
"Afu1g06500" 353 317 302 539 611 582 430 411 342 989 554 1123
"Afu1g06510" 253 287 231 317 344 348 333 287 251 553 354 679
"Afu1g06520" 1279 1267 1249 1471 1531 1715 1729 1385 1192 991 861 1067
"Afu1g06530" 951 1033 976 941 966 1123 1832 1497 1245 577 311 579
"Afu1g06540" 236 198 184 373 390 390 293 238 242 181 62 184
"Afu1g06550" 107 101 90 115 125 172 175 187 117 98 114 75
"Afu1g06560" 38 21 25 31 37 40 49 71 65 42 92 34
"Afu1g06570" 1469 1402 1230 1159 1177 1327 1511 1595 1262 776 494 684
"Afu1g06580" 27847 21658 24400 16124 18081 21619 31366 29091 26216 16931 14256 18658
"Afu1g06590" 4505 3563 3447 3356 3430 4209 3493 3476 3150 2105 2585 2166
"Afu1g06600" 1269 1166 966 1060 1064 1263 1123 1151 955 295 244 320
"Afu1g06610" 2185 1890 1841 197 239 221 2473 2586 1978 168 78 112
"Afu1g06620" 3119 2703 2533 1681 1624 1859 3331 3599 2812 1307 1018 1195
"Afu1g06630" 603 513 550 769 660 784 725 748 597 584 409 621
"Afu1g06640" 46 27 19 43 43 52 59 43 40 11 6 9
"Afu1g06650" 94 72 62 143 149 129 191 118 97 164 133 194
"Afu1g06660" 1365 1124 972 1099 1121 1221 1570 1248 1069 831 204 618
"Afu1g06670" 43 32 32 262 226 236 99 86 52 480 100 410
"Afu1g06680" 1542 1236 1213 1557 1865 1878 1545 1651 1269 2840 1833 2983
"Afu1g06690" 357 298 271 493 552 581 427 321 283 1071 823 1189
"Afu1g06700" 2485 2164 2089 2676 3022 3351 2744 2576 2276 3028 1895 3107
"Afu1g06710" 2958 2580 2485 1985 2179 2339 2819 3173 2603 1029 436 896
"Afu1g06720" 481 343 331 732 613 666 822 506 423 845 785 737
"Afu1g06730" 122 135 132 254 186 237 194 151 124 169 163 192
"Afu1g06740" 415 334 316 338 390 426 356 273 285 2206 2247 2385
"Afu1g06762" 446 389 401 692 694 719 807 609 502 941 1294 836
"Afu1g06770" 12477 11481 10761 5639 5670 6444 11684 12362 10439 3018 1463 2552
"Afu1g06780" 10710 8011 7970 2509 3032 2953 8153 8306 6937 1998 5132 1738
"Afu1g06790" 3262 2794 2708 2464 2955 3132 3254 3531 3046 1361 856 979
"Afu1g06800" 30 30 24 173 191 157 45 33 27 162 48 166
"Afu1g06810" 2108 1948 1731 177 190 187 1977 1979 1760 385 165 244
"Afu1g06820" 1682 1418 1462 1195 1303 1307 1860 1722 1478 5437 3554 5298
"Afu1g06830" 9700 9093 8243 4042 4201 4536 8594 9315 7843 1348 695 1019
"Afu1g06840" 633 643 586 258 241 317 607 559 526 80 60 44
"Afu1g06850" 519 395 358 445 366 361 747 585 438 976 585 728
"Afu1g06860" 1567 1308 1285 1160 1279 1271 1870 1734 1352 1311 1004 1388
"Afu1g06870" 149 121 100 96 117 138 121 112 70 19 24 17
"Afu1g06880" 195 190 177 114 148 157 212 219 180 34 19 23
"Afu1g06890" 574 536 466 512 560 505 809 603 515 344 582 364
"Afu1g06900" 1148 939 787 1288 1738 1667 1388 1116 908 1600 1405 1593
"Afu1g06910" 73 83 102 79 81 64 157 94 64 24 3 19
"Afu1g06920" 3821 2520 2684 3082 4395 3472 3867 3593 2776 3563 2870 2982
"Afu1g06930" 560 384 397 287 379 294 926 447 365 102 96 67
"Afu1g06940" 6775 4956 4805 2916 3176 3396 4684 5029 4104 3140 2156 3138
"Afu1g06950" 1244 969 935 813 772 863 1108 1057 902 1313 795 1220
"Afu1g06960" 8426 7303 7175 5092 5083 5653 6306 7076 5798 2242 1547 2116
"Afu1g06970" 159 137 122 164 175 188 191 166 123 195 73 178
"Afu1g06980" 1780 1687 1535 1072 1218 1338 1657 1784 1451 584 490 556
"Afu1g07000" 315 290 294 503 429 471 484 395 305 932 657 880
"Afu1g07010" 1059 976 945 1579 1669 1978 1581 1303 1091 1524 888 1417
"Afu1g07020" 265 251 243 245 250 262 382 320 269 181 116 157
"Afu1g07030" 62 52 44 22 28 22 63 70 48 52 13 28
"Afu1g07040" 947 816 701 324 400 370 873 864 730 3028 3207 3306
"Afu1g07050" 696 627 538 634 759 763 804 670 547 662 299 655
"Afu1g07070" 1932 1603 1502 2170 2416 2820 1734 1723 1396 1780 2601 1682
"Afu1g07080" 128 125 89 121 98 102 172 160 135 37 18 40
"Afu1g07090" 2752 2417 2248 2800 2940 3083 3561 2991 2407 4047 2449 3595
"Afu1g07100" 1053 923 809 1101 1106 1279 778 740 645 1434 1005 1513
"Afu1g07110" 2234 2141 2090 2627 3316 3418 2297 2258 1845 752 903 601
"Afu1g07130" 874 737 737 746 823 861 1129 937 830 145 24 124
"Afu1g07140" 1005 902 764 749 902 1000 942 895 713 223 298 186
"Afu1g07150" 1670 1377 1261 1692 1859 1777 1848 1570 1268 4342 5169 4319
"Afu1g07160" 1288 1084 1082 1190 1717 1556 1544 1587 1181 1494 1254 1434
"Afu1g07170" 647 541 455 583 553 554 1010 781 637 143 88 95
"Afu1g07180" 746 607 611 707 674 697 865 701 603 808 271 774
"Afu1g07190" 32 33 23 55 48 66 35 33 28 44 13 32
"Afu1g07195" 582 399 418 538 625 606 466 471 359 168 68 182
"Afu1g07200" 5026 3260 3194 1742 2613 1974 4542 3375 3064 414 377 309
"Afu1g07210" 1000 438 468 261 345 249 479 472 401 337 383 258
"Afu1g07220" 37039 21388 21518 4603 7432 5755 9936 10318 8940 5351 8651 5241
"Afu1g07230" 178 205 145 106 88 91 337 180 156 38 22 44
"Afu1g07240" 1744 1287 1287 2318 2561 2485 2197 1992 1648 3926 1485 3907
"Afu1g07250" 1530 1258 1193 1071 1383 1247 2002 1664 1326 958 582 930
"Afu1g07260" 592 610 583 697 701 703 1195 817 681 272 171 226
"Afu1g07270" 508 535 400 735 748 908 703 691 542 151 72 184
"Afu1g07280" 1796 1560 1354 1232 1283 1415 1606 1692 1390 958 528 890
"Afu1g07300" 718 643 582 536 573 553 669 610 526 1385 733 1206
"Afu1g07310" 433 406 349 762 659 767 603 454 385 1405 1353 1282
"Afu1g07320" 751 606 509 955 1064 1235 1125 1058 886 912 709 827
"Afu1g07330" 27 18 16 29 26 32 43 39 24 9 18 3
"Afu1g07340" 146 139 109 198 189 186 256 199 127 41 31 28
"Afu1g07350" 791 723 673 1208 1318 1367 1168 941 777 5957 3128 5939
"Afu1g07360" 343 337 337 442 471 532 409 379 299 655 441 678
"Afu1g07370" 10 20 3 3 1 3 14 7 7 2 3 2
"Afu1g07380" 36422 29762 27860 7918 11052 9773 35548 34325 28637 1855 282 880
"Afu1g07400" 4522 3314 2916 1366 1524 1369 2421 1967 1891 524 507 478
"Afu1g07420" 486 372 328 496 572 591 546 478 380 709 473 739
"Afu1g07430" 1426 1423 1212 737 691 831 2809 1634 1585 256 111 240
"Afu1g07440" 46935 34949 33697 17823 22078 23517 36005 33566 35698 51788 184496 38251
"Afu1g07450" 4847 4436 4520 7594 7905 9549 4764 4999 4087 7489 7567 7964
"Afu1g07470" 11847 8452 8557 5335 5830 6691 9573 9115 7711 12388 12438 12796
"Afu1g07480" 44310 28994 29909 7569 8940 9347 21680 26583 22467 17883 29938 21762
"Afu1g07490" 856 744 708 1227 1196 1344 915 816 708 574 300 543
"Afu1g07500" 1835 1728 1467 2745 2832 3095 2406 1786 1677 5722 4436 5855
"Afu1g07510" 745 562 568 542 642 739 748 654 606 518 594 491
"Afu1g07520" 528 536 464 688 647 674 876 615 638 442 226 362
